BibTex ID,Date,Newspaper,Abstract
[@_ultima_1913],09/08/13,Corriere della Sera,Ironically really the King's last hunt
[@_1919_progetto],18/09/19,La Stampa,"minutes of parliamentary discussion about the King's donation. Rava ""oltre a duemila ettari di sua privata proprietäš_äóæ, ove saräš_äóæ creato un gran parco nazionale per la conservazione di specie zoologiche, che si vanno disperdendo"" Art. 12 foresees that the state shall take over salary raises for the personnel of the Royal House who take care of the donated properties (check proposal)"
[@_donazione_1919],19/09/19,Corriere della Sera,"shorthand report of parliamentary discussion, identical to La Stampa"
[@_senato_1921],29/01/21,Corriere della Sera,"shorthand report of the senate's discussion, mentions national parks in general and hints to their management by ENIT"
[@_tutela_1921],30/01/21,Corriere della Sera,"further report on parliamentary discussion, impossible to include NPs in law for nature preservation according to gvmt"
[@_1921_parco],16/08/21,La Stampa,reprint of CAI report on the need for a NP on GP (by Vaccari)
[@_1922_consiglio],02/02/22,La Stampa,short news on approval of 'disegno di legge' on NP Gran Paradiso
[@_1922_comunicato],12/02/22,La Stampa,"su proposta di De Capitani schema di decreto per istituzione di un PN sul GP ""allo scopo di conservare la fauna e la flora preservandone la specie"
[@_commissione_1922],25/04/22,Corriere della Sera,clear distinction between tourism and science parks
[@caprin_gioie_1922],25/08/22,Corriere della Sera,the area is so apt to be a park that it already is one...
[@_per_1923],04/03/23,Corriere della Sera,first meeting of the Commissione Reale
[@_1923_parco],04/03/23,La Stampa,Royal Commission set in place by the Agriculture Minister
[@e.j._tra_1924],29/05/24,Corriere della Sera,"mentioned as one of the other existing parks beside Abruzzo, together with Sila"
[@_1924_lavori],13/12/24,La Stampa,"Report on a meeting of the commissione: acquisto terreni per incremento flora, sentiero belvedere versante meridionale, richiesti fondi al ministero per diritti caccia (che potranno essere versati solo quando caccia saräš_äóæ di nuovo aperta), immissione avanotti e salmerini"
[@janni_vita_1925],09/09/25,Corriere della Sera,"history of the region, no news"
[@_1926_sistemazione],16/04/26,La Stampa,"Report on a meeting of the commissione: risolta questione accesso cani, sentiero belvedere, strade d'accesso"
[@_diciannove_1926],26/09/26,Corriere della Sera,poisoning
[@volpe_il_1927],24/02/27,Corriere della Sera,history of the park movement
[@_il_1927],28/05/27,Corriere della Sera,poacher absolved after having shot at warden
[@caprin_mondo_1927],22/09/27,Corriere della Sera,comparison with CHNP
[@_ultime_1927],16/10/27,La Stampa,Minister Belluzzo visits II legione MNF and offices of the park
